1,2,3,,5,6,,,9,10,,,13,14,15,16,,18,,,,22,23,,25
1,2,3,4,,6,,8,,,,,13,14,,16,17,18,19,,21,,23,,25
1,2,,,5,,,8,,,11,12,13,,15,,,18,19,,21,22,23,24,25
1,,,4,5,6,7,8,9,,,,,14,15,16,17,,,20,21,22,,,25
1,,,4,5,6,,8,,10,11,12,,,15,,17,,,20,21,22,23,,25
1,,,4,5,6,7,8,,,11,12,,14,,,17,,19,20,21,22,,,25
,2,3,,5,,7,8,,,11,12,13,,,,,18,19,20,,22,23,24,25
,2,,,5,6,7,,9,10,,,,14,15,,17,18,19,20,21,,,24,25
,,,4,,,,8,9,10,11,12,13,,15,16,17,,19,,21,,23,24,25
,2,,,5,,7,8,9,,11,12,,14,,,17,,,20,21,22,23,24,25
1,,,4,,6,7,8,,,,12,13,,15,16,,18,19,20,,22,23,24,
1,2,3,,,,7,8,,10,11,12,,,15,16,17,,19,,21,22,,,25
